code_segment,nom_segment,type_route,longueur_km,nombre_voies,capacite_vehicules_h,lat_debut,lon_debut,lat_fin,lon_fin,lat_centre,lon_centre,est_axe_critique,source_donnee,date_extraction
OSM_5812518642_732149824_0,Segment sans nom,Rue secondaire,0.1564324065951834,2,1600,4.0823425,9.6650518,4.0831016,9.6662387,4.08271441823201,9.665650038742626,False,OpenStreetMap,2026-05-30T20:07:09.399149
OSM_5812528553_732139374_0,Segment sans nom,Rue secondaire,0.047503882621026075,2,1600,4.065997,9.7479512,4.0661888,9.7483339,4.066092900027057,9.74814254998052,False,OpenStreetMap,2026-05-30T20:07:09.399149
OSM_5812528553_5812748701_0,Segment sans nom,Rue secondaire,0.11177315744365046,2,1600,4.065997,9.7479512,4.0654746,9.7471227,4.065707178882275,9.747543951594787,False,OpenStreetMap,2026-05-30T20:07:09.399149
OSM_5812528553_732142094_0,Segment sans nom,Rue secondaire,0.1648357203442017,2,1600,4.065997,9.7479512,4.0654314,9.7487905,4.06547150381079,9.748254874441407,False,OpenStreetMap,2026-05-30T20:07:09.399149
OSM_5812528562_5812528563_0,Segment sans nom,Rue secondaire,0.0335881943586515,2,1600,4.0635348,9.7465783,4.0632506,9.7466809,4.063392700000222,9.746629600007,False,OpenStreetMap,2026-05-30T20:07:09.399149
OSM_5812528563_5812528562_0,Segment sans nom,Rue secondaire,0.0335881943586515,2,1600,4.0632506,9.7466809,4.0635348,9.7465783,4.063392700000222,9.746629600007,False,OpenStreetMap,2026-05-30T20:07:09.399149
OSM_5812528563_732145563_0,Segment sans nom,Rue secondaire,0.036434134511494444,2,1600,4.0632506,9.7466809,4.0634881,9.7469072,4.063369350011185,9.746794049983317,False,OpenStreetMap,2026-05-30T20:07:09.399149
OSM_5812528563_732124448_0,Segment sans nom,Rue secondaire,0.09700252236658537,2,1600,4.0632506,9.7466809,4.062659,9.7473207,4.06294423179986,9.746990403312754,False,OpenStreetMap,2026-05-30T20:07:09.399149
OSM_5812528565_732127966_0,Segment sans nom,Rue secondaire,0.0498633905150091,2,1600,4.0624573,9.7465923,4.0621456,9.7469155,4.062301450010774,9.746753900031246,False,OpenStreetMap,2026-05-30T20:07:09.399149
OSM_5812528566_732119592_0,Segment sans nom,Rue secondaire,0.0535167012020197,2,1600,4.0629825,9.7476207,4.0633385,9.7479454,4.0631605000233515,9.747783049963827,False,OpenStreetMap,2026-05-30T20:07:09.399149
OSM_5812528566_732128474_0,Segment sans nom,Rue secondaire,0.012150762000434636,2,1600,4.0629825,9.7476207,4.0629022,9.7475464,4.062942350001217,9.747583549998136,False,OpenStreetMap,2026-05-30T20:07:09.399149
OSM_5812528566_732146713_0,Segment sans nom,Rue secondaire,0.10926057579456401,2,1600,4.0629825,9.7476207,4.062357,9.7483804,4.062669141853775,9.748000052197385,False,OpenStreetMap,2026-05-30T20:07:09.399149
